CMDLINE /Users/julianromero/.local/share/virtualenvs/ProcessTweets-raqGfvtZ/bin/python /Users/julianromero/Documents/Bench/ProcessTweets/src/q1_memory.py
MEM 0.203125 1710547712.5272
MEM 25.484375 1710547712.6326
MEM 45.437500 1710547712.7334
MEM 63.015625 1710547712.8386
MEM 83.187500 1710547712.9437
MEM 100.484375 1710547713.0489
MEM 100.468750 1710547713.1541
MEM 100.468750 1710547713.2593
MEM 100.468750 1710547713.3604
MEM 100.468750 1710547713.4655
MEM 100.468750 1710547713.5707
MEM 100.468750 1710547713.6757
MEM 100.468750 1710547713.7808
MEM 100.468750 1710547713.8860
MEM 100.468750 1710547713.9889
MEM 100.468750 1710547714.0941
MEM 100.468750 1710547714.1992
MEM 100.531250 1710547714.2994
MEM 100.531250 1710547714.4046
MEM 100.531250 1710547714.5097
MEM 100.531250 1710547714.6148
MEM 100.531250 1710547714.7200
MEM 100.531250 1710547714.8251
MEM 100.687500 1710547714.9303
MEM 100.687500 1710547715.0308
MEM 100.687500 1710547715.1346
MEM 100.687500 1710547715.2397
MEM 100.687500 1710547715.3449
MEM 100.687500 1710547715.4501
MEM 100.687500 1710547715.5537
MEM 100.687500 1710547715.6588
MEM 100.687500 1710547715.7640
MEM 99.703125 1710547715.8679
MEM 99.703125 1710547715.9731
MEM 99.703125 1710547716.0783
MEM 99.703125 1710547716.1829
MEM 99.703125 1710547716.2881
MEM 99.703125 1710547716.3933
MEM 99.703125 1710547716.4984
MEM 99.703125 1710547716.6036
MEM 99.703125 1710547716.7088
MEM 96.187500 1710547716.8119
MEM 96.187500 1710547716.9171
MEM 96.187500 1710547717.0222
MEM 96.187500 1710547717.1272
MEM 96.187500 1710547717.2323
MEM 96.187500 1710547717.3337
MEM 96.187500 1710547717.4388
MEM 96.187500 1710547717.5439
MEM 96.187500 1710547717.6490
MEM 96.187500 1710547717.7542
MEM 96.187500 1710547717.8602
MEM 96.187500 1710547717.9653
MEM 96.187500 1710547718.0704
MEM 96.187500 1710547718.1753
MEM 96.187500 1710547718.2804
MEM 96.187500 1710547718.3850
MEM 96.187500 1710547718.4902
MEM 82.125000 1710547718.5953
MEM 82.125000 1710547718.7004
MEM 82.125000 1710547718.8056
MEM 81.500000 1710547718.9107
MEM 81.500000 1710547719.0144
MEM 81.500000 1710547719.1196
MEM 81.500000 1710547719.2247
MEM 81.500000 1710547719.3299
MEM 81.500000 1710547719.4351
MEM 81.500000 1710547719.5402
MEM 81.500000 1710547719.6454
MEM 80.265625 1710547719.7498
MEM 80.265625 1710547719.8550
MEM 80.265625 1710547719.9601
MEM 80.265625 1710547720.0653
MEM 80.265625 1710547720.1660
MEM 80.265625 1710547720.2669
MEM 80.265625 1710547720.3721
MEM 80.265625 1710547720.4743
MEM 80.265625 1710547720.5787
MEM 80.234375 1710547720.6838
MEM 80.234375 1710547720.7847
MEM 80.234375 1710547720.8899
MEM 80.281250 1710547720.9950
MEM 80.281250 1710547721.1002
MEM 80.281250 1710547721.2054
MEM 80.281250 1710547721.3105
MEM 80.281250 1710547721.4156
MEM 80.281250 1710547721.5165
MEM 80.281250 1710547721.6216
MEM 80.281250 1710547721.7237
MEM 80.281250 1710547721.8288
MEM 80.281250 1710547721.9339
MEM 80.281250 1710547722.0343
MEM 80.281250 1710547722.1394
MEM 80.281250 1710547722.2446
MEM 80.281250 1710547722.3497
MEM 80.281250 1710547722.4548
MEM 80.281250 1710547722.5599
MEM 80.281250 1710547722.6650
MEM 80.281250 1710547722.7680
MEM 80.281250 1710547722.8724
MEM 80.281250 1710547722.9775
MEM 80.281250 1710547723.0827
MEM 80.281250 1710547723.1878
MEM 80.281250 1710547723.2929
MEM 80.281250 1710547723.3980
MEM 80.281250 1710547723.5031
MEM 80.281250 1710547723.6082
MEM 80.281250 1710547723.7120
MEM 80.281250 1710547723.8171
MEM 80.281250 1710547723.9223
MEM 80.281250 1710547724.0274
MEM 92.843750 1710547724.1326
