CMDLINE /Users/julianromero/.local/share/virtualenvs/ProcessTweets-raqGfvtZ/bin/python /Users/julianromero/Documents/Bench/ProcessTweets/src/q1_time.py
MEM 0.203125 1710711501.8266
MEM 30.578125 1710711501.9319
MEM 54.921875 1710711502.0383
MEM 69.718750 1710711502.1435
MEM 93.109375 1710711502.2487
MEM 118.281250 1710711502.3539
MEM 158.828125 1710711502.4543
MEM 177.968750 1710711502.5594
MEM 221.125000 1710711502.6646
MEM 260.625000 1710711502.7698
MEM 263.000000 1710711502.8715
MEM 296.578125 1710711502.9741
MEM 338.218750 1710711503.0792
MEM 347.750000 1710711503.1810
MEM 347.750000 1710711503.2823
MEM 376.562500 1710711503.3876
MEM 414.390625 1710711503.4900
MEM 442.062500 1710711503.5952
MEM 442.062500 1710711503.7006
MEM 442.062500 1710711503.8060
MEM 474.671875 1710711503.9109
MEM 516.187500 1710711504.0161
MEM 555.296875 1710711504.1212
MEM 557.718750 1710711504.2267
MEM 557.718750 1710711504.3320
MEM 557.718750 1710711504.4366
MEM 587.562500 1710711504.5410
MEM 628.875000 1710711504.6461
MEM 668.062500 1710711504.7464
MEM 705.093750 1710711504.8515
MEM 705.093750 1710711504.9562
MEM 705.093750 1710711505.0614
MEM 705.093750 1710711505.1669
MEM 707.046875 1710711505.2722
MEM 749.203125 1710711505.3775
MEM 790.281250 1710711505.4797
MEM 833.625000 1710711505.5850
MEM 876.968750 1710711505.6902
MEM 892.015625 1710711505.7942
MEM 892.015625 1710711505.8985
MEM 892.015625 1710711506.0039
MEM 892.015625 1710711506.1093
MEM 892.015625 1710711506.2112
MEM 900.109375 1710711506.3163
MEM 941.687500 1710711506.4216
MEM 987.062500 1710711506.5267
MEM 1026.906250 1710711506.6283
MEM 1057.203125 1710711506.7285
MEM 1094.843750 1710711506.8336
MEM 1123.281250 1710711506.9389
MEM 1123.281250 1710711507.0442
MEM 1123.281250 1710711507.1498
MEM 1123.281250 1710711507.2552
MEM 1123.281250 1710711507.3606
MEM 1123.281250 1710711507.4658
MEM 1140.062500 1710711507.5710
MEM 1165.062500 1710711507.6763
MEM 1184.953125 1710711507.7816
MEM 1187.781250 1710711507.8870
MEM 1211.390625 1710711507.9924
MEM 1248.531250 1710711508.0979
MEM 1249.093750 1710711508.2032
MEM 1251.968750 1710711508.3084
MEM 1249.343750 1710711508.4135
MEM 1252.093750 1710711508.5186
MEM 1255.250000 1710711508.6239
MEM 1267.625000 1710711508.7291
MEM 1267.625000 1710711508.8345
MEM 1267.687500 1710711508.9397
MEM 1267.687500 1710711509.0451
MEM 1247.703125 1710711509.1503
MEM 1202.921875 1710711509.2557
MEM 253.937500 1710711509.3610
