CMDLINE /Users/julianromero/.local/share/virtualenvs/ProcessTweets-raqGfvtZ/bin/python /Users/julianromero/Documents/Bench/ProcessTweets/src/q1_memory.py
MEM 0.203125 1710547812.6997
MEM 25.734375 1710547812.8049
MEM 45.203125 1710547812.9055
MEM 62.953125 1710547813.0106
MEM 82.984375 1710547813.1157
MEM 100.031250 1710547813.2209
MEM 100.515625 1710547813.3260
MEM 100.515625 1710547813.4284
MEM 100.515625 1710547813.5335
MEM 100.515625 1710547813.6387
MEM 100.515625 1710547813.7434
MEM 100.515625 1710547813.8484
MEM 100.515625 1710547813.9535
MEM 100.515625 1710547814.0586
MEM 100.515625 1710547814.1638
MEM 100.515625 1710547814.2689
MEM 100.546875 1710547814.3742
MEM 100.609375 1710547814.4747
MEM 100.609375 1710547814.5750
MEM 100.609375 1710547814.6801
MEM 100.609375 1710547814.7847
MEM 100.609375 1710547814.8898
MEM 100.609375 1710547814.9950
MEM 100.828125 1710547815.0978
MEM 100.828125 1710547815.1994
MEM 100.828125 1710547815.3046
MEM 100.828125 1710547815.4094
MEM 100.828125 1710547815.5145
MEM 100.828125 1710547815.6196
MEM 101.046875 1710547815.7248
